date,Km run,hrs run,Weight Avg,belt
04/01/2016,10.02,1,77,
11/01/2016,12,1.333333333,77,
18/01/2016,12.1,1.233333333,78,
25/01/2016,34.31,3.366666667,77.3,86
01/02/2016,45.94,4.966666667,76.4,87
08/02/2016,19.35,2.133333333,75.3,85
15/02/2016,32.65,3.333333333,74.6,82.5
22/02/2016,4,0.366666667,74.5,83.5
29/02/2016,4.34,0.433333333,76.4,
07/03/2016,4.38,0.433333333,74.4,
14/03/2016,0,0,,
21/03/2016,7.06,0.7,,
28/03/2016,8.2,0.85,75,
04/04/2016,3.03,0.3,,
11/04/2016,3.04,0.316666667,,
18/04/2016,3.01,0.3,,
25/04/2016,,,,
02/05/2016,,,,
09/05/2016,,,,
16/05/2016,,,,
23/05/2016,,,,
30/05/2016,,,,
06/06/2016,3.04,0.316666667,,
13/06/2016,3.03,0.316666667,,
20/06/2016,,,,
27/06/2016,,,76.6,
04/07/2016,,,76.7,87
11/07/2016,4.73,0.4,,
18/07/2016,12.02,1.233333333,,86.5
25/07/2016,12.01,1.366666667,,
01/08/2016,,,,
08/08/2016,,,,85
15/08/2016,,,,
22/08/2016,,,,
29/08/2016,,,,
05/09/2016,,,,
12/09/2016,,,,
19/09/2016,,,,
26/09/2016,,,,
03/10/2016,,,,
10/10/2016,,,80.2,
17/10/2016,8.81,1,,
24/10/2016,8.2,1,,
31/10/2016,4.12,0.4,,
07/11/2016,4.03,0.433333333,82.2,
14/11/2016,,,82.9,
21/11/2016,,,,
28/11/2016,,,,
05/12/2016,,,84.9,
12/12/2016,,,,
19/12/2016,18.43,2.2,,
26/12/2016,23.86,2.866666667,82.6,90.7
02/01/2017,26.15,3,82.3,90
09/01/2017,47.72,6.033333333,80.9,90
16/01/2017,33.27,4.166666667,79.7,89.5
23/01/2017,36.15,4.05,79.6,90
30/01/2017,2.62,0.283333333,,
06/02/2017,6.26,0.65,,
13/02/2017,8.78,0.783333333,81.2,
20/02/2017,1.25,0.133333333,,
27/02/2017,,,,
06/03/2017,7.79,1.066666667,,
13/03/2017,6,0.716666667,,
20/03/2017,7.08,0.8,,
27/03/2017,10.9,1.183333333,,
03/04/2017,,,,
10/04/2017,6.16,0.733333333,,
17/04/2017,5.17,0.666666667,,
24/04/2017,6.22,0.666666667,,
01/05/2017,11.95,1.366666667,,
08/05/2017,,,,
15/05/2017,,,,
22/05/2017,,,85.4,
29/05/2017,,,84.5,94
05/06/2017,,,,
12/06/2017,,,,
19/06/2017,,,,
26/06/2017,,,,
03/07/2017,,,,
10/07/2017,,,,
17/07/2017,26.12,3.65,86.2,96
24/07/2017,31.02,3.516666667,,93.5
31/07/2017,,,,
07/08/2017,,,,
14/08/2017,3,0.316666667,,
21/08/2017,6,0.733333333,,
28/08/2017,3,0.366666667,,
04/09/2017,,,86,
11/09/2017,17.6,2.233333333,84.4,97
18/09/2017,99.57,13.66666667,83.2,95
25/09/2017,44.25,4.066666667,81.7,91
02/10/2017,53.62,6.183333333,82,91
09/10/2017,46.62,5.416666667,81.5,
16/10/2017,17.2,2.083333333,,
23/10/2017,16.93,2.016666667,,
30/10/2017,,,,
06/11/2017,,,,
13/11/2017,12.14,1.383333333,,
20/11/2017,,,,
27/11/2017,,,,
04/12/2017,,,,
11/12/2017,,,,
18/12/2017,,,,
25/12/2017,,,,
01/01/2018,3,0.30,,
08/01/2018,15.86,1.88,,
15/01/2018,21.27,2.45,83.5,95
22/01/2018,21.49,2.35,,95.5
29/01/2018,31.22,3.58,,94.5
05/02/2018,35.57,4.07,81.6,92.5
12/02/2018,35.52,4.15,79,91.5
19/02/2018,35.55,4.18,79,89.8
26/02/2018,35.68,4.10,77,88.5
05/03/2018,35.28,3.35,76,87.5
12/03/2018,10,,,
19/03/2018,,,,
26/03/2018,,,,
02/04/2018,,,,
09/04/2018,,,,
16/04/2018,,,,
23/04/2018,,,,
30/04/2018,,,,
07/05/2018,,,,
14/05/2018,,,,
21/05/2018,,,,
28/05/2018,,,,
04/06/2018,,,,
11/06/2018,,,,
18/06/2018,,,,
25/06/2018,,,,
02/07/2018,,,,
09/07/2018,,,,
16/07/2018,,,,
23/07/2018,,,,
30/07/2018,,,,
06/08/2018,,,,
13/08/2018,,,,
20/08/2018,,,,
27/08/2018,,,,
03/09/2018,,,,
10/09/2018,,,,
17/09/2018,,,,
24/09/2018,,,,
01/10/2018,,,,
08/10/2018,,,,
15/10/2018,,,,
22/10/2018,,,,
29/10/2018,,,,
05/11/2018,,,,
12/11/2018,,,,
19/11/2018,,,,
26/11/2018,,,,
03/12/2018,,,,
10/12/2018,,,,
17/12/2018,,,,
24/12/2018,,,,
